date,location,matched_cities,ratio,median_price,monthly_payment,median_hhi,interest_rate,cities_matched
2022-01-01,"Amarillo, TX","Amarillo, TX",21.34%,315200.0,1078.1346265231016,60628.0,3.11,1
2023-01-01,"Amarillo, TX","Amarillo, TX",33.37%,346375.0,1736.9071986083093,62469.0,6.42,1
2017-01-01,"Americus, GA","Americus, GA",22.01%,129000.0,511.92001694550584,27914.0,4.32,1
2018-01-01,"Americus, GA","Americus, GA",17.87%,123750.0,472.0705732056422,31703.0,3.99,1
2019-01-01,"Americus, GA","Americus, GA",22.55%,153675.0,626.5766480083456,33347.0,4.55,1
2020-01-01,"Americus, GA","Americus, GA",20.84%,156750.0,580.0356146182804,33405.0,3.74,1
2021-01-01,"Americus, GA","Americus, GA",17.90%,152653.0,493.3942247377018,33069.0,2.67,1
2022-01-01,"Americus, GA","Americus, GA",16.86%,149950.0,512.9006575099589,36498.0,3.11,1
2023-01-01,"Americus, GA","Americus, GA",24.34%,159900.0,801.8230561023996,39527.0,6.42,1
2017-01-01,"Ames, IA","Ames, IA",22.27%,199950.0,793.4760262655341,42755.0,4.32,1
2018-01-01,"Ames, IA","Ames, IA",22.26%,224350.0,855.8305704944307,46127.0,3.99,1
2019-01-01,"Ames, IA","Ames, IA",21.87%,215000.0,876.6161010040299,48105.0,4.55,1
2020-01-01,"Ames, IA","Ames, IA",19.66%,224825.0,831.939438957288,50783.0,3.74,1
2021-01-01,"Ames, IA","Ames, IA",20.56%,288000.0,930.8532208633836,54339.0,2.67,1
2022-01-01,"Ames, IA","Ames, IA",18.01%,252000.0,861.9604247583172,57428.0,3.11,1
2023-01-01,"Ames, IA","Ames, IA",30.97%,309375.0,1551.3696559204495,60102.0,6.42,1
2017-01-01,"Amsterdam, NY","Amsterdam, NY",11.86%,99950.0,396.6388038271574,40136.0,4.32,1
2018-01-01,"Amsterdam, NY","Amsterdam, NY",16.31%,129450.0,493.81442991087175,36326.0,3.99,1
2019-01-01,"Amsterdam, NY","Amsterdam, NY",16.05%,122900.0,501.09822703904786,37457.0,4.55,1
2020-01-01,"Amsterdam, NY","Amsterdam, NY",13.63%,124900.0,462.17829834655964,40696.0,3.74,1
2021-01-01,"Amsterdam, NY","Amsterdam, NY",14.29%,159000.0,513.9085490183264,43164.0,2.67,1
2022-01-01,"Amsterdam, NY","Amsterdam, NY",16.56%,187000.0,639.6293628166877,46338.0,3.11,1
2023-01-01,"Amsterdam, NY","Amsterdam, NY",22.71%,189450.0,950.0023638436498,50193.0,6.42,1
2017-01-01,"Andrews, TX","Andrews, TX",12.77%,189250.0,751.0144434646278,70578.0,4.32,1
2018-01-01,"Andrews, TX","Andrews, TX",13.23%,213750.0,815.3946264461091,73944.0,3.99,1
2019-01-01,"Andrews, TX","Andrews, TX",13.86%,216200.0,881.5088420328896,76342.0,4.55,1
2020-01-01,"Andrews, TX","Andrews, TX",15.06%,236950.0,876.8066276478567,69886.0,3.74,1
2021-01-01,"Andrews, TX","Andrews, TX",12.71%,249500.0,806.4162451576883,76161.0,2.67,1
2022-01-01,"Andrews, TX","Andrews, TX",11.73%,248000.0,848.278513254217,86806.0,3.11,1
2023-01-01,"Andrews, TX","Andrews, TX",22.87%,299799.0,1503.3505340615593,78896.0,6.42,1
2017-01-01,"Angola, IN","Angola, IN",25.89%,225975.0,896.7529134051215,41568.0,4.32,1
2018-01-01,"Angola, IN","Angola, IN",25.93%,242725.0,925.9258980310262,42857.0,3.99,1
2019-01-01,"Angola, IN","Angola, IN",23.48%,229800.0,936.9599070266329,47878.0,4.55,1
2020-01-01,"Angola, IN","Angola, IN",23.85%,246850.0,913.4404559395375,45957.0,3.74,1
2021-01-01,"Angola, IN","Angola, IN",20.72%,249000.0,804.8001805381338,46616.0,2.67,1
2022-01-01,"Angola, IN","Angola, IN",22.03%,314700.0,1076.424387585089,58627.0,3.11,1
2023-01-01,"Angola, IN","Angola, IN",34.08%,336200.0,1685.884374369148,59355.0,6.42,1
2017-01-01,"Ann Arbor, MI","Ann Arbor, MI",25.75%,331123.0,1314.019316054626,61247.0,4.32,1
2018-01-01,"Ann Arbor, MI","Ann Arbor, MI",27.88%,389500.0,1485.830208190688,63956.0,3.99,1
2019-01-01,"Ann Arbor, MI","Ann Arbor, MI",29.76%,399900.0,1630.5059478674957,65745.0,4.55,1
2020-01-01,"Ann Arbor, MI","Ann Arbor, MI",23.56%,368528.0,1363.6961083511685,69456.0,3.74,1
2021-01-01,"Ann Arbor, MI","Ann Arbor, MI",22.75%,429900.0,1389.4923598929468,73276.0,2.67,1
2022-01-01,"Ann Arbor, MI","Ann Arbor, MI",22.40%,428695.0,1466.3417630625668,78546.0,3.11,1
2023-01-01,"Ann Arbor, MI","Ann Arbor, MI",31.91%,430000.0,2156.2471177237767,81089.0,6.42,1
2017-01-01,"Anniston-Oxford-Jacksonville, AL","Anniston, AL, Oxford, AL, Jacksonville, AL",12.52%,109900.0,436.1241074597759,41806.333333333336,4.32,3
2018-01-01,"Anniston-Oxford-Jacksonville, AL","Anniston, AL, Oxford, AL, Jacksonville, AL",12.78%,119900.0,457.38393315035546,42933.333333333336,3.99,3
2019-01-01,"Anniston-Oxford-Jacksonville, AL","Anniston, AL, Oxford, AL, Jacksonville, AL",13.01%,119800.0,488.45864604782696,45068.666666666664,4.55,3
2020-01-01,"Anniston-Oxford-Jacksonville, AL","Anniston, AL, Oxford, AL, Jacksonville, AL",12.72%,139450.0,516.0189247752421,48684.0,3.74,3
2021-01-01,"Anniston-Oxford-Jacksonville, AL","Anniston, AL, Oxford, AL, Jacksonville, AL",12.11%,149900.0,484.4961729424348,48024.666666666664,2.67,3
2022-01-01,"Anniston-Oxford-Jacksonville, AL","Anniston, AL, Oxford, AL, Jacksonville, AL",12.93%,166000.0,567.7993274201613,52708.0,3.11,3
2023-01-01,"Anniston-Oxford-Jacksonville, AL","Anniston, AL, Oxford, AL, Jacksonville, AL",20.39%,182999.0,917.6536425496125,54005.666666666664,6.42,3
2017-01-01,"Appleton, WI","Appleton, WI",15.35%,179900.0,713.9101631666394,55817.0,4.32,1
2018-01-01,"Appleton, WI","Appleton, WI",17.00%,209675.0,799.8496762577213,56459.0,3.99,1
2019-01-01,"Appleton, WI","Appleton, WI",23.05%,273725.0,1116.0546151038518,58112.0,4.55,1
2020-01-01,"Appleton, WI","Appleton, WI",18.98%,262700.0,972.0915850731883,61475.0,3.74,1
